,judul berita,penerbit,sinopsis,link
48,Paguyuban KSE Universitas Pendidikan Indonesia Berperan dalam Gerakan Tanam Pohon: Lebih dari 4.000 Bubut Ditanam di 40 Titik Se-Nusantara – BERITA UPI,Data Indonesia.id,"KENDARI, EDISIINDONESIA.id – Calon Gubernur Sulawesi Tenggara (Sultra) Andi Sumangerukka (ASR) dan Hugua untuk pemilihan tahun 2024,...6 jam yang lalu",https://dataindonesia.id/pendidikan/detail/data-jumlah-sekolah-di-indonesia-menurut-satuan-pendidikan-pada-semester-i-tahun-ajaran-20242025&sa=U&ved=2ahUKEwiovt7Ine-IAxUVSmwGHcqCGgw4KBDF9AF6BAgAEAI&usg=AOvVaw0qGMJ4Uo9yGMn-NYPAVoTE
49,Agenda Pendidikan ASR-Hugua untuk Sultra,BERITA UPI,Anggaran pendidikan masih menjadi polemik di Indonesia. Sejumlah pakar pendidikan mempersoalkan distribusinya dan menolak usulan Menteri...3 minggu lalu,https://berita.upi.edu/paguyuban-kse-universitas-pendidikan-indonesia-berperan-dalam-gerakan-tanam-pohon-lebih-dari-4-000-bubut-ditanam-di-40-titik-se-nusantara/&sa=U&ved=2ahUKEwiovt7Ine-IAxUVSmwGHcqCGgw4KBDF9AF6BAgHEAI&usg=AOvVaw1S9pBVNBGAvXltbD0SEWgC
50,"Pengamat: Anggaran Pendidikan Menurun, Indonesia Emas 2045 Sulit Tercapai",Edisi Indonesia,Maksud dari kegiatan ini adalah untuk memberikan bekal kepada teman-teman dosen maupun tenaga kependidikan Universitas Pendidikan Indonesia...1 hari lalu,https://edisiindonesia.id/2024/10/02/agenda-pendidikan-asr-hugua-untuk-sultra/&sa=U&ved=2ahUKEwjPlvXIne-IAxXicGwGHV42IwY4MhDF9AF6BAgDEAI&usg=AOvVaw3KNkdNUygsbQUFz17A90DW
51,FKPP UPI Gelar Acara Pembekalan Pra Purna Bakti UPI (Dosen & Tendik) Th. 2024/2025,VOA Indonesia,"Surabaya, VIVA Jatim – Asosiasi Pendidikan Ners Indonesia (AIPNI) menggelar Rapat Tahunan Anggota (RTA) di Hotel Shangri-La, Surabaya,...18 jam yang lalu",https://www.voaindonesia.com/a/pengamat-anggaran-pendidikan-menurun-indonesia-emas-2045-sulit-tercapai/7777021.html&sa=U&ved=2ahUKEwjPlvXIne-IAxXicGwGHV42IwY4MhDF9AF6BAgJEAI&usg=AOvVaw3Z9hIPYGziISStAeW2i6nj
52,AIPNI Perkuat Pendidikan Keperawatan untuk Indonesia Emas,BERITA UPI,JawaPos.com - Merek kerajinan tangan Stroberi Accessories menjalin kolaborasi dengan NYATA Foundation untuk mendukung pendidikan di 25...1 hari lalu,https://berita.upi.edu/fkpp-upi-gelar-acara-pembekalan-pra-purna-bakti-upi-dosen-tendik-th-2024-2025/&sa=U&ved=2ahUKEwjPlvXIne-IAxXicGwGHV42IwY4MhDF9AF6BAgEEAI&usg=AOvVaw08m4mIVtRfYtfk0Q1frJR0
53,Kolaborasi dengan NYATA Foundation untuk Dukung Pendidikan di Pedalaman Indonesia - Jawa Pos,VIVA Jatim,"Kampung Nusantara di Pangandaran, miniatur Indonesia, didirikan oleh Ai Nurhidayat untuk mendukung pendidikan multikultural dan memperkuat...4 hari lalu",https://jatim.viva.co.id/kabar/15124-aipni-perkuat-pendidikan-keperawatan-untuk-indonesia-emas&sa=U&ved=2ahUKEwjPlvXIne-IAxXicGwGHV42IwY4MhDF9AF6BAgFEAI&usg=AOvVaw396YPGhX6xfdvuPOKCe1wE
54,Mengenalkan Keberagaman Indonesia Lewat Pendidikan di Pangandaran,Jawa Pos,"Jakarta, 27/09/2024, Kemenkeu - Kepala Pusat Kebijakan Anggaran Pendapatan dan Belanja Negara (APBN) Badan Kebijakan Fiskal Kementerian...5 hari lalu",https://www.jawapos.com/berita-sekitar-anda/015144870/kolaborasi-dengan-nyata-foundation-untuk-dukung-pendidikan-di-pedalaman-indonesia&sa=U&ved=2ahUKEwjPlvXIne-IAxXicGwGHV42IwY4MhDF9AF6BAgIEAI&usg=AOvVaw0STTeOdZKrB1DR_W1bIryi
55,"Satu Dekade Terakhir, APBN Dorong Peningkatan Pemerataan Pendidikan dan Infrastruktur Tol",detikcom,"INDOBALINEWS–Praktik baik Indonesia dalam mengembangkan ekosistem teknologi pendidikan akan menjadi materi, yang dibahas, dalam diskusi...2 hari lalu",https://www.detik.com/jabar/berita/d-7560547/mengenalkan-keberagaman-indonesia-lewat-pendidikan-di-pangandaran&sa=U&ved=2ahUKEwjPlvXIne-IAxXicGwGHV42IwY4MhDF9AF6BAgGEAI&usg=AOvVaw2btlF_Oputrwen2uXf3i3L
56,"Tuan Rumah GSVI 2024, Indonesia Siap Berbagi Kunci Transformasi Pendidikan - Indo Bali News",Kementerian Keuangan,"Surabaya, Bhirawa Gateways Study Visit Indonesia (GSVI) 2024 yang mempertemukan Indonesia dengan 56 peserta dari 20 negara dan sembilan...1 hari lalu",https://www.kemenkeu.go.id/informasi-publik/publikasi/berita-utama/APBN-untuk-Pendidikan&sa=U&ved=2ahUKEwjPlvXIne-IAxXicGwGHV42IwY4MhDF9AF6BAgBEAI&usg=AOvVaw2vb-7wPKh25kJ49wuIKIfz
57,"Jelang Gateways Study Visit, Indonesia Siap Berbagi Kunci Transformasi Pendidikan",Indo Bali News,PT Bank Syariah Indonesia Tbk (BSI) konsisten dalam mendorong pencapaian Sustainable Development Goals (SDGs) yaitu peningkatan kehidupan.3 hari lalu,https://indobalinews.pikiran-rakyat.com/nasional/pr-888617135/tuan-rumah-gsvi-2024-indonesia-siap-berbagi-kunci-transformasi-pendidikan%3Fpage%3Dall&sa=U&ved=2ahUKEwjPlvXIne-IAxXicGwGHV42IwY4MhDF9AF6BAgCEAI&usg=AOvVaw3WdqLoa6FVLid3NwmIqZFS
58,PT Bank Syariah Indonesia Tbk Dukung Peningkatan Pendidikan di Sumatera Barat Lewat Beasiswa - Padek Jawapos,Harian Bhirawa,"Universitas Pendidikan Indonesia (UPI) kembali mengukir prestasi di kancah internasional. Dwi Fitria Al Husaeni, yang akrab disapa Dwi,...1 minggu lalu",https://harianbhirawa.co.id/jelang-gateways-study-visit-indonesia-siap-berbagi-kunci-transformasi-pendidikan/&sa=U&ved=2ahUKEwjPlvXIne-IAxXicGwGHV42IwY4MhDF9AF6BAgAEAI&usg=AOvVaw2DMZ_xgDh5Ld2EFCmZ2h8V
59,"Mahasiswi Universitas Pendidikan Indonesia, Dwi Fitria Al Husaeni, Masuk Daftar 2% Ilmuwan Paling Berpengaruh di Dunia – BERITA UPI",Padang Ekspres,Fenomena guru yang pilah-pilih tempat mengajar acapkali dilakukan. Mayoritas guru kebanyakan mengajar di daerah perkotaan sementara sangat...1 bulan lalu,https://padek.jawapos.com/padang/2365140524/pt-bank-syariah-indonesia-tbk-dukung-peningkatan-pendidikan-di-sumatera-barat-lewat-beasiswa&sa=U&ved=2ahUKEwjPlvXIne-IAxXicGwGHV42IwY4MhDF9AF6BAgHEAI&usg=AOvVaw2yoeRI4aeHTtqKEah1R56-
60,Pendidikan di Wilayah Terpencil: Tantangan Pemerintah dalam Pemerataan Pendidikan di Indonesia,BERITA UPI,"METROBATAM.COM, BATAM – Demi mendorong peningkatan Mutu Pendidikan di Kota Batam. Pjs Wali Kota Batam, Andi Agung, Melakukan Kunjungan ke...21 jam yang lalu",https://berita.upi.edu/mahasiswi-universitas-pendidikan-indonesia-dwi-fitria-al-husaeni-masuk-daftar-2-ilmuwan-paling-berpengaruh-di-dunia/&sa=U&ved=2ahUKEwih34_Jne-IAxXObWwGHe07M1w4PBDF9AF6BAgAEAI&usg=AOvVaw3-00CG476gWZrKxOIVfosL
61,Pjs Wali Kota Batam Dorong Peningkatan Mutu Pendidikan Menuju Indonesia Emas 2045,Kementerian Sekretariat Negara,"Indonesia adalah negara dengan populasi terbanyak keempat, dengan sekitar 279.390.258 orang pada 2024, meningkat sebesar 0,82% dari...17 jam yang lalu",https://www.setneg.go.id/baca/index/pendidikan_di_wilayah_terpencil_tantangan_pemerintah_dalam_pemerataan_pendidikan_di_indonesia_1&sa=U&ved=2ahUKEwih34_Jne-IAxXObWwGHe07M1w4PBDF9AF6BAgJEAI&usg=AOvVaw0Thm8pPUgVWFNo9XWZRK8l
62,Revitalisasi Pendidikan untuk Menjawab Tantangan Deindustrialisasi menuju Indonesia Tanpa Kesenjaangan - Kompasiana.com,Metrobatam.com,Program Indonesia Pintar (PIP) telah dilaksanakan pemerintah selama hampir 10 tahun.1 minggu lalu,https://www.metrobatam.com/2024/10/pjs-wali-kota-batam-dorong-peningkatan-mutu-pendidikan-menuju-indonesia-emas-2045/&sa=U&ved=2ahUKEwih34_Jne-IAxXObWwGHe07M1w4PBDF9AF6BAgBEAI&usg=AOvVaw1NY4dFll5rHyXVa2iwJT8r
63,Peningkatan Pendidikan Indonesia Lewat Program Indonesia Pintar (PIP),Kompasiana.com,"Bali, IDN Times - Direktur Jenderal Pendidikan Anak Usia Dini, Pendidikan Dasar, dan Pendidikan Menengah (PAUD Dikdasmen) Kemendikbudristek,...1 hari lalu",https://www.kompasiana.com/revalayuniar/66fc0908c925c4111d240e42/revitalisasi-pendidikan-untuk-menjawab-tantangan-deindustrialisasi-menuju-indonesia-tanpa-kesenjaangan&sa=U&ved=2ahUKEwih34_Jne-IAxXObWwGHe07M1w4PBDF9AF6BAgEEAI&usg=AOvVaw2_JqHb0m70Z1VFoMuntx8B
64,Indonesia Kenalkan Semangat Gotong Royong Pendidikan Digital,Indonesia Baik,Suara.com - PT Reformasi Generasi Indonesia (REFO) menggelar Indonesia Future of Learning Summit (IFLS) 2024. Menghadirkan tujuh pembicara...5 hari lalu,https://indonesiabaik.id/infografis/peningkatan-pendidikan-indonesia-lewat-program-indonesia-pintar-pip&sa=U&ved=2ahUKEwih34_Jne-IAxXObWwGHe07M1w4PBDF9AF6BAgDEAI&usg=AOvVaw3Vf4uYFVpntsSGZMsG1OsT
65,AI dalam Pendidikan Indonesia: Potensi Besar yang Belum Tergarap,IDN Times,Gerakan UI Mengajar pendidikan dasar di tengah ketimpangan daerah GUIM 14 secara resmi dibuka - Kampus - Okezone Edukasi.2 hari lalu,https://www.idntimes.com/news/indonesia/lia-hutasoit-1/indonesia-kenalkan-semangat-gotong-royong-di-pendidikan-digital&sa=U&ved=2ahUKEwih34_Jne-IAxXObWwGHe07M1w4PBDF9AF6BAgHEAI&usg=AOvVaw2TLya4M3BtFFCJYzvAav4l
66,"UI Mengajar, Mahasiswa Ajarkan Pendidikan Dasar di Daerah-Daerah Indonesia",Suara.com,Jusuf Kalla meminta pemerintah ke depan untuk mengembalikan sistem pendidikan Indonesia sesuai dengan kapasitas negara.3 minggu lalu,https://www.suara.com/bisnis/2024/09/27/115448/ai-dalam-pendidikan-indonesia-potensi-besar-yang-belum-tergarap&sa=U&ved=2ahUKEwih34_Jne-IAxXObWwGHe07M1w4PBDF9AF6BAgIEAI&usg=AOvVaw3f1PHREUx2xYua6loYYobu
67,"JK Ingatkan Soal Pendidikan, RI Jangan Tiru Finlandia & Singapura!",Okezone Edukasi,Kelas finansial ini bertujuan meningkatkan literasi dan edukasi keuangan ibu tunggal.1 hari lalu,https://edukasi.okezone.com/read/2024/09/30/65/3069290/ui-mengajar-mahasiswa-ajarkan-pendidikan-dasar-di-daerah-daerah-indonesia&sa=U&ved=2ahUKEwih34_Jne-IAxXObWwGHe07M1w4PBDF9AF6BAgGEAI&usg=AOvVaw0TO7ZZPXBfqnTckACdXoHK
68,Tips siapkan dana pendidikan anak ala Jenius dan Single Moms Indonesia,CNBC Indonesia,"Windhoek, Namibia - KBRI Windhoek telah sukses menyelenggarakan pagelaran budaya bertajuk Harmony of Nusantara: Colours of Indonesia di...3 hari lalu",https://www.cnbcindonesia.com/news/20240909065536-4-570154/jk-ingatkan-soal-pendidikan-ri-jangan-tiru-finlandia-singapura&sa=U&ved=2ahUKEwih34_Jne-IAxXObWwGHe07M1w4PBDF9AF6BAgCEAI&usg=AOvVaw3QlwctdrcTXSzDXwm-_Jo8
69,Kedutaan Besar Republik Indonesia Di Windhoek Sukses Menyelenggarakan Pagelaran Budaya Harmony Of Nusantara Colours Of Indonesia | Portal Kementerian Luar Negeri Republik Indonesia,indotelko.com,1. Kekerasan masih menjadi budaya. Pendidikan di Indonesia belum memerdekakan sivitas akademika dari kekerasan. Kekerasan terus terjadi di...4 bulan lalu,https://www.indotelko.com/read/1727702395/tips-siapkan-dana-pendidikan-anak-ala-jenius-dan-single-moms-indonesia&sa=U&ved=2ahUKEwih34_Jne-IAxXObWwGHe07M1w4PBDF9AF6BAgFEAI&usg=AOvVaw30wkAgT5gj4ly7Ab0hcmGM
70,3 alasan pendidikan di Indonesia belum berhasil memerdekakan manusia,Kemlu,Wali Kota Makassar Moh Ramdhan Pomanto menaruh harapan besar kepada Forum Dewan Pendidikan Indonesia untuk membangun pendidikan yang lebih...3 minggu lalu,https://kemlu.go.id/portal/id/read/6315/berita/kedutaan-besar-republik-indonesia-di-windhoek-sukses-menyelenggarakan-pagelaran-budaya-harmony-of-nusantara-colours-of-indonesia&sa=U&ved=2ahUKEwiwpqXJne-IAxUvzjgGHQmvO-A4RhDF9AF6BAgIEAI&usg=AOvVaw1ZRlybVeeG13LJrIhwmUEL
71,Danny Pomanto Sebut Dewan Pendidikan Punya Peran Penting Ciptakan Generasi Indonesia yang Unggul,The Conversation,"JATENG.AKURAT.CO, Dalam beberapa tahun terakhir, dunia pendidikan Indonesia telah mengalami transformasi signifikan melalui penerapan...3 hari lalu",https://theconversation.com/3-alasan-pendidikan-di-indonesia-belum-berhasil-memerdekakan-manusia-230101&sa=U&ved=2ahUKEwiwpqXJne-IAxUvzjgGHQmvO-A4RhDF9AF6BAgJEAI&usg=AOvVaw0NUyzsww7N6ztUkr1cqmt7
72,"Pendidikan Vibes! Kurikulum Merdeka, Paradigma Baru Pendidikan Indonesia untuk Membangun Generasi Berpikir Kritis dan Kreatif - Akurat Jateng",Kota Makassar,"DIREKTUR Jenderal Pendidikan Anak Usia Dini, Pendidikan Dasar, dan Pendidikan Menengah Iwan Syahril memaparkan bahwa kehadiran teknologi...24 jam yang lalu",https://makassarkota.go.id/danny-pomanto-sebut-dewan-pendidikan-punya-peran-penting-ciptakan-generasi-indonesia-yang-unggul/&sa=U&ved=2ahUKEwiwpqXJne-IAxUvzjgGHQmvO-A4RhDF9AF6BAgCEAI&usg=AOvVaw35Zs0GLFHaz-4erSVlPyMs
73,Kemendikbud-Ristek Beberkan Kisah Sukses Merdeka Belajar di Forum Gateways Study Visit,Akurat Jateng,"Beasiswa tersebut, diberikan di lima desa di Kabupaten Sukabumi, diantaranya Desa Kebonmanggu, Sirnaresmi, Tanjungsari, Wangunreja,...2 hari lalu",https://jateng.akurat.co/edukasi/1335139348/pendidikan-vibes-kurikulum-merdeka-paradigma-baru-pendidikan-indonesia-untuk-membangun-generasi-berpikir-kritis-dan-kreatif&sa=U&ved=2ahUKEwiwpqXJne-IAxUvzjgGHQmvO-A4RhDF9AF6BAgDEAI&usg=AOvVaw1DuGO3kxlt5JfU0YrYPPNm
74,Indonesia Emas. Semen Jawa Berikan Ratusan Beasiswa Pendidikan di Lima Desa di Kabupaten Sukabumi,Media Indonesia,Kolaborasiglobal menjadi fokus utama dalam orientasi mahasiswa S3 Batch Ke-2 yang diselenggarakan oleh Universitas Muhammadiyah Malaysia...1 hari lalu,https://mediaindonesia.com/humaniora/705371/kemendikbud-ristek-beberkan-kisah-sukses-merdeka-belajar-di-forum-gateways-study-visit&sa=U&ved=2ahUKEwiwpqXJne-IAxUvzjgGHQmvO-A4RhDF9AF6BAgEEAI&usg=AOvVaw3tIHOX7KywxOHYT0FgEfE0
75,Kolaborasi Global Kunci Penting untuk Dunia Pendidikan,Tribunjabar.id,Pos sebelumnya Untirta Lakukan 'Test Food' dan Wawancara Tenant Kantin Kampus Sindangsari · Pos berikutnya Kepala UPA Perpustakaan Untirta...2 minggu lalu,https://jabar.tribunnews.com/2024/09/29/indonesia-emas-semen-jawa-berikan-ratusan-beasiswa-pendidikan-di-lima-desa-di-kabupaten-sukabumi&sa=U&ved=2ahUKEwiwpqXJne-IAxUvzjgGHQmvO-A4RhDF9AF6BAgFEAI&usg=AOvVaw1huEy-4jnwaIdK59tJT37E
76,Pemerataan Pendidikan di Indonesia (Indonesia Sentris) – Versi Untirta,Media Indonesia,Transformasi pendidikan di Indonesia melalui adopsi teknologi dan kebijakan yang mendukung keberlanjutan proses ini menjadi perhatian utama.1 hari lalu,https://mediaindonesia.com/humaniora/705204/kolaborasi-global-kunci-penting-untuk-dunia-pendidikan&sa=U&ved=2ahUKEwiwpqXJne-IAxUvzjgGHQmvO-A4RhDF9AF6BAgGEAI&usg=AOvVaw0ZA-2SJwRyxmF2UA8ZcJNP
77,RI Berbagi Praktik Transformasi Pendidikan,Universitas Sultan Ageng Tirtayasa,"JAKARTA (Lensametro.com) — Dalam rangka meningkatkan kualitas layanan farmasi di seluruh Indonesia, Persatuan Ahli Farmasi Indonesia (PAFI)...1 hari lalu",https://untirta.ac.id/2024/09/19/pemerataan-pendidikan-di-indonesia-indonesia-sentris-versi-untirta/&sa=U&ved=2ahUKEwiwpqXJne-IAxUvzjgGHQmvO-A4RhDF9AF6BAgHEAI&usg=AOvVaw3qvR7b5r1bx-WiX579OCqR
78,PAFI Indonesia Tingkatkan Kualitas Layanan Farmasi Melalui Pendidikan dan Sertifikasi Berkelanjutan,IDN Times,"UNDANGAN. Kami mengundang Bapak/Ibu untuk berpartisipasi dalam The 45th Strategic Talks yang akan mengangkat tema: ""Pendidikan Inklusif...3 minggu lalu",https://www.idntimes.com/news/indonesia/lia-hutasoit-1/ri-berbagi-praktik-transformasi-pendidikan-lewat-gateways-study-visit&sa=U&ved=2ahUKEwiwpqXJne-IAxUvzjgGHQmvO-A4RhDF9AF6BAgBEAI&usg=AOvVaw0sn5sWjfIarqufV-cIZaS1
79,Yuk Ikuti! Zoom dan Youtube Live Pendidikan Inklusif Untuk Wujudkan Indonesia Maju 2045,Lensametro.com,"Dewan Pendidikan Kabupaten/Kota se-Indonesia kembali menyelenggarakan Rakornas ke-3 di Kota Makassar, selama tiga hari, Rabu-Jumat 11-13...3 minggu lalu",https://lensametro.com/pafi-indonesia-tingkatkan-kualitas-layanan-farmasi-melalui-pendidikan-dan-sertifikasi-berkelanjutan/&sa=U&ved=2ahUKEwiwpqXJne-IAxUvzjgGHQmvO-A4RhDF9AF6BAgAEAI&usg=AOvVaw06YZh5xJlVyyEXhmT3eNYi
80,"Percepat Kemajuan Pendidikan di Indonesia, Dewan Pendidikan Laksanakan Rakornas ke-3",Disdik Purwakarta,"Jakarta, CNBC Indonesia - Wardah kembali menghadirkan Wardah Inspiring Teacher (WIT) 2024, sebuah program yang didedikasikan untuk...1 minggu lalu",http://disdik.purwakartakab.go.id/berita/detail/yuk-ikuti-zoom-dan-youtube-live-pendidikan-inklusif--untuk-wujudkan-indonesia-maju-2045%3F/berita/detail/yuk-ikuti-zoom-dan-youtube-live-pendidikan-inklusif--untuk-wujudkan-indonesia-maju-2045&sa=U&ved=2ahUKEwin777Jne-IAxVcz6ACHdaFO6o4UBDF9AF6BAgHEAI&usg=AOvVaw36sEPRw-3NpGBHt5ksITb1
81,Wardah Inspiring Teacher 2024 Dukung Kemajuan Pendidikan Indonesia,Depok.go.id,Universitas Pendidikan Indonesia (UPI) dan Pemerintah Kabupaten Serang sepakat melakukan Kesepakatan Bersama tentang Kerja Sama di bidang...2 minggu lalu,https://berita.depok.go.id/percepat-kemajuan-pendidikan-di-indonesia-dewan-pendidikan-laksanakan-rakornas-ke-3&sa=U&ved=2ahUKEwin777Jne-IAxVcz6ACHdaFO6o4UBDF9AF6BAgJEAI&usg=AOvVaw2TxTz1UNH0cT7X6Z4p6CqG
82,Universitas Pendidikan Indonesia dan Pemerintah Kabupaten Serang Sepakat Menandatangani MoU tentang Tridharma Perguruan Tinggi – BERITA UPI,CNBC Indonesia,"Banyuwangi, seblang.com – Hari ini seluruh instansi di Indonesia melaksanakan Upacara Hari Kesaktian Pancasila termasuk SMKN 1 Tegalsari...1 hari lalu",https://www.cnbcindonesia.com/lifestyle/20240923081243-33-573717/wardah-inspiring-teacher-2024-dukung-kemajuan-pendidikan-indonesia&sa=U&ved=2ahUKEwin777Jne-IAxVcz6ACHdaFO6o4UBDF9AF6BAgEEAI&usg=AOvVaw3MlhsEn29_P36R88S4Hi1R
83,Hari Kesaktian Pancasila di SMKN Tegalsari Banyuwangi: Pendidikan Menuju Indonesia Emas,BERITA UPI,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi (Kemendikbudristek) mengatakan kolaborasi dan sinergi antar-pihak berhasil...4 hari lalu",https://berita.upi.edu/universitas-pendidikan-indonesia-dan-pemerintah-kabupaten-serang-sepakat-menandatangani-mou-tentang-tridharma-perguruan-tinggi/&sa=U&ved=2ahUKEwin777Jne-IAxVcz6ACHdaFO6o4UBDF9AF6BAgBEAI&usg=AOvVaw2N__0cdMQd6BSAAjCb43TM
84,Kemendikbud: Kolaborasi sukses turunkan angka buta aksara Indonesia,Seblang.com,"Jakarta, VIVA – PT Reformasi Generasi Indonesia (REFO) menggelar Indonesia Future of Learning Summit (IFLS) 2024 di Jakarta.4 hari lalu",https://seblang.com/2024/10/01/hari-kesaktian-pancasila-di-smkn-tegalsari-banyuwangi-pendidikan-menuju-indonesia-emas/&sa=U&ved=2ahUKEwin777Jne-IAxVcz6ACHdaFO6o4UBDF9AF6BAgFEAI&usg=AOvVaw3JrZK-dBSDgHbvKgxRogaV
85,Para Pakar dan Praktisi Teknologi Kumpul Bahas Peran AI Genjot Pendidikan di Indonesia,ANTARA News,Wacana mengenai penerapan 'student loan' (pinjaman pendidikan) di Indonesia semakin santer terdengar dalam beberapa tahun terakhir.1 minggu lalu,https://www.antaranews.com/berita/4362347/kemendikbud-kolaborasi-sukses-turunkan-angka-buta-aksara-indonesia&sa=U&ved=2ahUKEwin777Jne-IAxVcz6ACHdaFO6o4UBDF9AF6BAgIEAI&usg=AOvVaw2AKdQ6CTEzupoDff1MMzuy
86,Mengapa ‘student loan’ berpotensi memperburuk ketidakadilan dalam sistem pendidikan Indonesia,VIVA.co.id,Daerah pedalaman harus diperilakukan lebih khusus dibandingkan daerah perkotaan karena sering kali pemerintah lupa dengan pendidikan...2 hari lalu,https://www.viva.co.id/edukasi/1756241-para-pakar-dan-praktisi-teknologi-kumpul-bahas-peran-ai-genjot-pendidikan-di-indonesia&sa=U&ved=2ahUKEwin777Jne-IAxVcz6ACHdaFO6o4UBDF9AF6BAgAEAI&usg=AOvVaw2xu6S7a2qN44R3S1ISrNrg
87,Analisis Pendidikan Anak Indonesia di Daerah Pedalaman - Kompasiana.com,The Conversation,Indosiber.id – Jakarta – Ir.Agung Karang Sebagai Ketua Umum Gerakan Pendidikan Indonesia Baru (GPIB) diundang menjadi nara sumber pada...1 hari lalu,https://theconversation.com/mengapa-student-loan-berpotensi-memperburuk-ketidakadilan-dalam-sistem-pendidikan-indonesia-239319&sa=U&ved=2ahUKEwin777Jne-IAxVcz6ACHdaFO6o4UBDF9AF6BAgGEAI&usg=AOvVaw2_oC0q4VmSokQ7-Mh127H5
88,Ketua Umum Gerakan Pendidikan Indonesia Baru (GPIB) Ir.Agung Karang Menjadi NARA SUMBER Podcast BUDAYA,Kompasiana.com,Menurut sosok yang kerap disapa Bu Wahya itu kurikulum pendidikan yang sudah ada lebih baik dilanjutkan oleh Menteri Pendidikan yang baru.4 hari lalu,https://www.kompasiana.com/irenaprilia4349/66f92a79ed641553b76420c2/analisis-pendidikan-anak-di-indonesia-di-daerah-pedalaman&sa=U&ved=2ahUKEwin777Jne-IAxVcz6ACHdaFO6o4UBDF9AF6BAgCEAI&usg=AOvVaw1ISBAb1kdqtx12bxvGIe2T
89,Sri Wahyaningsih Resah Menteri Pendidikan Baru Kerap Tak Lanjutkan Kurikulum Sebelumnya,Indosiber,"Munculnya Gen z di dunia kerja sebagai agen perubahan, khususnya pada bidang pendidikan.3 hari lalu",https://indosiber.id/2024/10/01/ketua-umum-gerakan-pendidikan-indonesia-baru-gpib-ir-agung-karang-menjadi-nara-sumber-podcast-budaya/&sa=U&ved=2ahUKEwin777Jne-IAxVcz6ACHdaFO6o4UBDF9AF6BAgDEAI&usg=AOvVaw1WlN_vnHl4uvFTo9vbOhaz
90,Bagaimana Peran Guru Gen Z dalam Membentuk Masa Depan Pendidikan Indonesia? - Kompasiana.com,Good News From Indonesia,Dialog Publik INOVOKASIA 2024: PTV DIY perkuat peran pendidikan vokasi untuk menghasilkan lulusan siap kerja dan mendukung Indonesia Emas...3 minggu lalu,https://www.goodnewsfromindonesia.id/2024/09/27/sri-wahyaningsih-resah-menteri-pendidikan-baru-kerap-tak-lanjutkan-kurikulum-sebelumnya&sa=U&ved=2ahUKEwj78NjJne-IAxUKR2cHHYKOEi04WhDF9AF6BAgBEAI&usg=AOvVaw2S0u5zr_ptw8b_flGVmSsu
91,Dialog Publik: Peranan Penting Pendidikan Vokasi dalam Mendukung Indonesia Emas 2045,Kompasiana.com,Universitas Gadjah Mada ikut berpartisipasi dalam sesi pameran High Level Forum on Multi Stakeholder Partnership (HLF MSP) Indonesia 2024...2 minggu lalu,https://www.kompasiana.com/zuhdafahmiyah8347/66f8f026c925c47e171d82f2/bagaimana-peran-guru-gen-z-dalam-membentuk-masa-depan-pendidikan-indonesia&sa=U&ved=2ahUKEwj78NjJne-IAxUKR2cHHYKOEi04WhDF9AF6BAgJEAI&usg=AOvVaw2hj5WyQLrVkUhUa4oMIwfd
92,UGM Berpartisipasi di Ajang Pameran Pendidikan HLF MSP Indonesia 2024,Universitas Gadjah Mada,Temukan bagaimana pendidikan sejarah dapat membentuk jati diri bangsa Indonesia. Pelajari pentingnya penanaman nilai sejarah untuk membangun karakter...6 hari lalu,https://sv.ugm.ac.id/2024/09/13/dialog-publik-peranan-penting-pendidikan-vokasi-dalam-mendukung-indonesia-emas-2045/&sa=U&ved=2ahUKEwj78NjJne-IAxUKR2cHHYKOEi04WhDF9AF6BAgCEAI&usg=AOvVaw1zkBZtkEQ04IZP8KnaFcPj
93,"Pendidikan Sejarah, Kunci Membentuk Jati Diri Bangsa Indonesia",Universitas Gadjah Mada,majunya perkembangan teknologi tentunya membawa dampak yang besar terhadap banyak hal tidak terkecuali pendidikan di Indonesia.1 hari lalu,https://ugm.ac.id/id/berita/ugm-berpartisipasi-di-ajang-pameran-pendidikan-hlf-msp-indonesia-2024/&sa=U&ved=2ahUKEwj78NjJne-IAxUKR2cHHYKOEi04WhDF9AF6BAgAEAI&usg=AOvVaw2O3A-Gc2IRJOu6PkLhZFnc
94,Menyongsong Era Teknologi: Inovasi Digital yang Mengubah Wajah Pendidikan Indonesia - Kompasiana.com,Borneonews,Komitmen pemerintah Indonesia dalam melaksanakan pendidikan inklusif tercermin dalam peningkatan jumlah sekolah inklusi dari 28.778 di tahun...1 minggu lalu,https://www.borneonews.co.id/berita/382443-pendidikan-sejarah-kunci-membentuk-jati-diri-bangsa-indonesia&sa=U&ved=2ahUKEwj78NjJne-IAxUKR2cHHYKOEi04WhDF9AF6BAgGEAI&usg=AOvVaw2tNEQzkCRQWVDZXeEZxZjV
