"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1840023730614829278","Sat Sep 28 22:57:54 +0000 2024","2","@rannaahmad1616 @lianrawrrr @tanyarlfes kalo mau bahas ttg kasus atau edukasi gak perlu bawa2 cerita pasiennya. ya edukasi aja ttg penyakit kelamin ttg penyebarannya gimana efeknya gimana dll fokus ke edukasi penyakit. dia itu bawa2 cerita pasiennya","1840164057170751695","","rannaahmad1616","in","","1","2","0","https://x.com/lightnue_/status/1840164057170751695","142201368","lightnue_"
"1839635971832512733","Sat Sep 28 22:52:17 +0000 2024","0","@HidupSeder8563 @Baroindra @QuoteAja Walaupun google sudah bersih dari hal 18+ tapi masih ada 1001 cara buat akses konten begituan percuma aja sebenernya mau diblokir atau dipersulit karena pasti nemu aja caranya. Paling bener harus diajarkan pengendalian diri sih dengan edukasi yg bener","1840162645623878014","","HidupSeder8563","in","","0","0","0","https://x.com/Mietanpakuah/status/1840162645623878014","1095895213233459202","Mietanpakuah"
"1840023730614829278","Sat Sep 28 22:48:19 +0000 2024","90","@yubiaksara @tanyarlfes Kalo gasalah dokter Amira itu emang tugas di daerah pedalaman kak jadi engga heran klo edukasi sex itu kurangg. Suka sedih kalo beliau bercerita","1840161645978628137","","yubiaksara","in","19","0","0","2","https://x.com/balebaleeno/status/1840161645978628137","1323487129821827073","balebaleeno"
"1840161127864598998","Sat Sep 28 22:46:16 +0000 2024","0","Pertamina Patra Niaga perkuat edukasi tanggap bencana dengan teknologi Virtual Reality memberikan pelatihan yang lebih mendalam dan interaktif bagi masyarakat https://t.co/K8KczD05QZ","1840161127864598998","https://pbs.twimg.com/media/GYmQydWasAEFdIb.jpg","","in","Indonesia","0","0","0","https://x.com/ivankalalisa/status/1840161127864598998","1647094953703772160","ivankalalisa"
"1840023730614829278","Sat Sep 28 22:38:43 +0000 2024","36","@Kiekregaard @azoeygeboy @lianrawrrr @tanyarlfes gak enak karna kesindir kalo u ga aneh2 ya gak bakal lah lagian dr nya bikin konten itu untuk edukasi dan peringatan keras gak ada pun dia ngasih tau muka ataupun namanya","1840159230277628372","","Kiekregaard","in","","0","0","0","https://x.com/samocatx/status/1840159230277628372","1692084212386635776","samocatx"
"1840023730614829278","Sat Sep 28 22:36:32 +0000 2024","0","@tanyarlfes Blio ini kerjanya di Fakfak kan ya? Liat semua videonya buset hah heh hoh doang kasusnya diluar nurul semua. Seminim itu kah edukasi disana? ","1840158678848286920","","tanyarlfes","in","","0","0","0","https://x.com/ddalgilatte_/status/1840158678848286920","79417889","ddalgilatte_"
"1840101374715183548","Sat Sep 28 18:48:49 +0000 2024","0","kalo edukasi yg baik gini jgn kebelet di viralin lah kl ada salah. Takutnya malah berkurang org yg mau bikin konten edukasi (cause sosmed is scary)","1840101374715183548","","","in","","0","0","0","https://x.com/michipye/status/1840101374715183548","1593480101441994752","michipye"
"1839810725986087107","Sat Sep 28 18:44:15 +0000 2024","2","@ImaginarySteady @nanath27 Aduh aku sih sudah enggak tahu komentar apa.. Tapi kalau aku jadi Mulyono bakalan aku edukasi tuh anak-anak mulyono pendukungnya agar pakai otak Ketimbang bangun IKN yg gak jelas kenapa gak menyelesaikan dulu hal2 penting &amp; urgent seperti korupsi kemiskinan pengangguran ","1840100223710036061","","ImaginarySteady","in","+62","0","0","0","https://x.com/woyyytayyoo/status/1840100223710036061","2406553698","woyyytayyoo"
"1839895905912431018","Sat Sep 28 18:39:35 +0000 2024","0","@MorphoMenelausX Ya hantam dari berbagai sisi 1. Persulit akses beli harus ada verifikasi umur dan quota per identitas. 2. Perberat hukuman rokok illegal bagi produsen pengedar dan pembeli. 3. Perberat hukuman pelanggar lingkup merokok. 4. Edukasi tentang hukuman pelanggaran aturan merokok.","1840099048927441403","","MorphoMenelausX","in","","0","3","0","https://x.com/hasegawa11_/status/1840099048927441403","1644457443773288448","hasegawa11_"
"1840098191162986551","Sat Sep 28 18:36:12 +0000 2024","0","Apalagi yg saya heran kenapa tayangan edukasi soal teknologi dan sains malah hampir ditutup misalnya otan dst (jaman kecil dulu malah bagus makin kesini malah makin lenyap tak ada kabarnya). Berharap ya kedepannya bisa memposisikan keberadaan penayangan TV yg sesuai.","1840098199291474368","","firman__nurhuda","in","Republic Of Indonesia ","0","0","0","https://x.com/firman__nurhuda/status/1840098199291474368","1424573456029347840","firman__nurhuda"
"1840040199348273425","Sat Sep 28 18:34:33 +0000 2024","1","@ciamoreee note penting buat edukasi","1840097784546140259","","ciamoreee","in","","0","0","0","https://x.com/dondanuarta/status/1840097784546140259","1121282944922861568","dondanuarta"
"1840097008067194901","Sat Sep 28 18:31:28 +0000 2024","1","potret warga x yg katanya paling intelek dokter di pedalaman gaji ga seberapa kasus yg sering terjadi dibagikan dengan niat edukasi masih dikatain bajingan pula sehat-sehat dokter di indonesia","1840097008067194901","","","in","Kota Bandung, Jawa Barat","0","0","0","https://x.com/xxxxxbara/status/1840097008067194901","1036683067832729600","xxxxxbara"
"1840023730614829278","Sat Sep 28 18:27:29 +0000 2024","97","@TorroSTY @tanyarlfes lu ga jelas dokter ditempatin di pedalaman ngasih edukasi salahnya dimana cok???????","1840096003187454321","","TorroSTY","in","Kota Bandung, Jawa Barat","0","0","0","https://x.com/xxxxxbara/status/1840096003187454321","1036683067832729600","xxxxxbara"
"1840095436293713929","Sat Sep 28 18:25:13 +0000 2024","0","ikr klo tujuannya edukasi tapi kalo liat regulasi beneran boleh ga si nyebarin kaya gini? serius nanya soalnya gatau","1840095436293713929","","","in","heaven","0","1","0","https://x.com/mondoljinshi/status/1840095436293713929","1405602173703000064","mondoljinshi"
"1840094614327570837","Sat Sep 28 18:21:58 +0000 2024","0","BLUERABBIT CELENGAN ANAK Safe Box / Celengan Fingerprint/ Safe Brankas / Mainan Edukasi Tabungan ATM dengan harga Rp.119.000. Dapatkan di Shopee sekarang! https://t.co/zq5ChFOaDl https://t.co/befUCe0944","1840094614327570837","https://pbs.twimg.com/media/GYlUS0vagAAB_KZ.jpg","","in","Indonesiee","0","0","0","https://x.com/wardhani911/status/1840094614327570837","728045536226332673","wardhani911"
"1741053342036705611","Sat Sep 28 18:16:04 +0000 2024","0","@pipis @indonesianatv Seru banget kayaknya! Dokumenter fiksi edukasi sampe film anak-anak semuanya ada.","1840093133339873345","","pipis","in","Sumsel","0","0","0","https://x.com/f420hotmailcom/status/1840093133339873345","770267073939374080","f420hotmailcom"
"1840090882395255098","Sat Sep 28 18:07:13 +0000 2024","0","kita ga tau klo misalkan orang itu hari ini di rmhnya lagi runyam pengen rileks nongkrong di luar eh di luar dapet tatapan yang ga mengenakan begitu. gue harap makin banyak yang edukasi ini sih","1840090903425495192","","ecis301295","in","","0","1","0","https://x.com/ecis301295/status/1840090903425495192","1644609267658547200","ecis301295"
"1840023730614829278","Sat Sep 28 18:03:29 +0000 2024","0","@mis0pr0stol @inulmalik @worthlesssssss_ @nnabiyya @tanyarlfes Kayanya aku pernah liat videonya deh kayanya yg dia edukasi suami pasien gitu ya ada suara suami pasien di situ pada kontra karena dianggap melanggar kode etik","1840089965423903124","","mis0pr0stol","in","Jakarta Capital Region, Indone","0","0","0","https://x.com/catbarbar/status/1840089965423903124","1301872908986327042","catbarbar"
"1840089926001668356","Sat Sep 28 18:03:23 +0000 2024","1","Emang dilema kadang sih ngomongin mass adoption blockchain tuh. Untuk casenya di loyalty program yang gua liat ya gini. Buat perusahaan lama males nerapinnya karna pr di edukasi sama infra nya. Buat perushaaan baru ya anj ngapain lu bikin loyalty program ketika lu aja masih","1840089938152538172","","coinfolks","in","Land of Dawn","0","0","0","https://x.com/coinfolks/status/1840089938152538172","1452247140303003657","coinfolks"
"1840087796918431929","Sat Sep 28 17:54:52 +0000 2024","0","Edukasi Cinta Bangga Paham Rupiah SMPN 1 Martapura #cbprupiah #cbprupiahsumsel #sobatrupiah #cintarupiah #banggarupiah #pahamrupiah #sayangirupiah #mengenalirupiah #edukasicbprupiah https://t.co/pYZc5xvXI0","1840087796918431929","","","in","Sumatera Selatan","0","0","0","https://x.com/CBPRupiahSumsel/status/1840087796918431929","1817744201049919488","CBPRupiahSumsel"
